推:這波感覺比較可愛耶~ /j大按i可以看這板的發文限制喔	0
首長當然也是某賴和其他綠營首長這時突然強調親中是	2
推:豆乾類漲很多吧，現在去超商買，量是以前的一半還漲價	1
b8 我覺得這支顏色滿像的但比116再土深一個色號的感覺	2
雙重標準dpp打手	1
b群的味道也是我挑選的重點阿真的很不喜歡b群味= =	1
note8的6g有誠意多了^^"不過很期待s9真正上市規格	0
希望別出現垃圾	1
謝謝大大分享又是一隻不錯的手機，只可惜約還沒到	2
 ！打算買lil boat再次感謝～	2
 mod根本沒mlb可看，很無聊	1
零錢我寧可捐給超商的箱子[emo571]	2
推:好用我都在山路公車上畫眼線	0
最有感的牌子	0
推:可以先修行政法啊！dpp政府在幹嘛？	2
推:被麥當當屌打	2
好可愛!!	0
lg現在應該順手弄死三星就獨大了	2
我在宜兒樂買539元，只是不知道宜兒樂是不是全台都	2
推: kmt不意外	1
以食品補鈣來說安怡cp值蠻高的除了有健康食品認證還有添加幫助鈣質吸收的營養素喔！	0
推:話說益生菌真的對身體很有幫助	0
推:吱吱已成最大贏家	0
屁覺青不意外	1
噓:覺青女神的腦都用來做愛難怪這麼蠢	1
間根本永遠都在免運，雖然我第一次買包	2
推:吱吱表示開心…	0
推:狗黨	1
影片做得很好~~講解得很清楚~~	0
視還算穩定唯一能和統媒政論分庭抗禮的	0
好可怕啊到底哪裡出問題了	1
推:味道不會有多好，不然吃點東西配吧	2
刷子單買是多少～～～	2
事。可以理解有些人會這樣	2
保養的確大於化妝	2
去超商出示手機的簡訊條碼就可以繳費了	2
現在只吃肌酸真的有用xd	0
推:我到底是覺得藍營支持者沒有不理性到這種程度啦...	0
謝謝qwq	2
推:剛靠櫃腮紅這色號缺貨	1
要補充dha的話吃藻油魚油是不錯的選擇	0
去年有先辦台星試用訊號還可以	0
電腦不熟就用windows系統啊選mac自找麻煩	1
b6買到就直接給他退貨阿	1
沒有噢，還有鐵觀音奶茶和…（我忘了><）	2
以中醫的角度來看，酒屬燥熱，配冬瓜退火，很養生的組合	0
之後魚卡(hce100已拿)剪卡,又上網辦張新魚卡,卡號全變,	2
推:刷具使用者七年。	2
看身邊的人都用什麼牌就用買什麼牌子。	2
激光那瓶覺得用起來悶悶黏黏的，不過為了改善色差只好忍了??	1
今晚非常感謝王道銀行音樂會讓我認識[神秘失控人聲樂團]-阿卡貝拉真的很棒！	0
快去舔中吧!那麼愛老共就去入中國籍吧!	1
推:銀行要求國防部放棄慶富違約的利息這太垃圾了吧	1
你畫得好好看!!	0
推:看到大家的數字覺得其實我也是可以在買	2
被你加工一個我都餓了(ಥ_ಥ) ....看起來有夠好吃	0
最近不是蠻多人吃uniqman，我自己也買，效果還不錯，覺得比b群好，可以試試看	0
這樣都成為不了台灣人....悲哀的政客政府	1
在3.4年前2萬就能買到acer fhd 15.6吋了目前仍在服役中	2
最近粉底快用完這個感覺好燒控油加上遮瑕力強的粉底令我心動	0
我覺得雷不推不夠顯色不夠保濕不夠滑順	1
推:彥州今天精神不錯	0
因為補充維他命c有助於美白，檸檬是最天然的，效果也是最好的。	0
推: lg有多一層濾光片呀，和三星有差異	2
推:有買超喜歡	0
黑黃肌不適合哭哭	1
我是選特選沒錯，因為mod我是看了好幾年了，幾乎等	2
推:不顯色+1	1
等我年底去日本超商再觀察看看!跨年沒東西吃~~	2
推:亞太蠻爛的，有次差點想繳一年的違約金轉回中華電信	1
b12我是應徵正職喔	2
可是理膚很糟啊，一堆皮膚科診所外	1
挖，這個椅子真的好帥氣喔，信仰滿滿的，又能舒適的打電腦遊戲，感謝大大推薦介紹！	0
推:感謝用心整理qq	0
一盒涼麵是我的一餐，千千你吃了12餐啊～	2
存入的屢保都消失到那兒呢?	2
推:自己愛投kmt，基隆不意外	1
這是建商的陷阱，其實房價從來都沒有跌，大家不要被騙了之前漲了三倍，那要再跌70%，才算合理。	1
推:我是先筆試再面試耶！	2
推:只顧烏紗帽的政府，可憐的人民	1
推:不會，太麻煩	1
我等等立馬衝!!!	2
做一年一年就達到馬英九做八年的水準了太厲害了	0
台灣法律吼。。。。真好敲詐真敢	1
欺負我國的產品～不考慮...	1
麥當勞1+1的堡比較豐富，50還有送飲料勒	0
更別說等各家都出，還要再等	2
紅米超優質的手機	0
是去我家隔壁的通訊行換的不過那間專賣sony	2
推:喜歡這口味+1，這應該是我吃最多次的口味	0
還是有中國心的。呵呵	2
欢迎台湾人才来创业共同努力发展	0
好美唷?我好像選5號??????	2
不算不當黨產。	2
推:謝謝指教一切依法辦理	2
sony xzs拍別人自拍都好看阿!!	0
推:需要給小萊再一次的機會嗎？每次買都不好喝：(	1
家變好比較實在	2
手機很好看介紹很不錯照片也好看	0
推:我之前也會這樣之後發現是眼線位置畫	2
我也有香奈兒99那支～完全是為了包裝買的哈哈	2
便利商店的新發現#國農#紅茶拿鐵#萊爾富	2
以"保健食品都假的"來催眠自己的無知,殊不知許多"保健食品	1
石宗修好屌石宗修	2
手機竟然需要散熱風扇  	2
喜歡msi gf63!!!!!外型很吸引人	0
拿鐵你的是全家換的對吧，你是永久還是3天	2
噓:騙肖維	1
玩快打旋風蠻順暢的!	0
上禮拜北車tomods有看到但是cosmestore是缺貨的	1
臺灣企業成功三要素1.要堅持2.不要臉3.要堅持不要臉	2
推: three的眼線筆!可請去日本玩朋友機場代買!	2
南越太廢韓戰救了kmt	2
看標題就知道那個族群高潮	2
這眼頭好不自然	1
台星也很不錯，拍照上傳很順暢	0
推:拍照不要買sony	1
噓:吱吱雙重標準，以後就不要嘴別人	1
生日有影片可以看最開心  我今天也剛吃7-11的蕎麥涼麵好吃  	0
很棒的活動感謝通知很開心參與活動	0
噓: kmt不意外	1
推: kmt但dpp也往這條路行走當中..	2
水費也可以去famiport輸入水號印小白單繳	2
這是對的阿打工而已反正被搶又不用負責當然自己的命要緊	2
推:唯一支持亞太電信！	0
